"cityid","provinceid","cityname","recordstatus"
77,8,"KAB. SEMARANG",1
78,8,"KAB. TEGAL",1
79,8,"KARANGANYAR",1
80,8,"KEBUMEN",1
81,8,"KENDAL",1
82,8,"KLATEN",1
83,8,"KODYA PEKALONGAN",1
84,8,"KODYA SEMARANG",1
85,8,"KOTA TEGAL",1
86,8,"KOTAMADYA MAGELANG",1
87,8,"KUDUS",1
88,8,"MAGELANG",1
89,8,"PATI",1
90,8,"PEMALANG",1
91,8,"PURBALINGGA",1
92,8,"PURWOKERTO",1
93,8,"PURWOREJO",1
94,8,"REMBANG",1
95,8,"SALATIGA",1
96,8,"SRAGEN",1
97,8,"SUKOHARJO",1
98,8,"SURAKARTA",1
99,8,"TEMANGGUNG",1
100,8,"WONOGIRI",1
101,8,"WONOSOBO",1
102,9,"BANGKALAN",1
103,9,"BANYUWANGI",1
104,9,"BLITAR",1
105,9,"BOJONEGORO",1
106,9,"BONDOWOSO",1
107,9,"GRESIK",1
108,9,"JEMBER",1
109,9,"JOMBANG",1
110,9,"KAB. KEDIRI",1
111,9,"KAB.MOJOKERTO",1
112,9,"KAB.NGANJUK",1
113,9,"KABUPATEN MALANG",1
114,9,"KODYA MOJOKERTO",1
115,9,"KODYA PASURUAN",1
116,9,"KOTA BATU",1
117,9,"KOTA BLITAR",1
118,9,"KOTA KEDIRI",1
119,9,"KOTA PROBOLINGGO",1
120,9,"KOTAMADYA MALANG",1
121,9,"LAMONGAN",1
122,9,"LUMAJANG",1
123,9,"MADIUN",1
124,9,"MAGETAN",1
125,9,"NGAWI",1
126,9,"PACITAN",1
127,9,"PAMEKASAN",1
128,9,"PASURUAN",1
129,9,"PONOROGO",1
130,9,"PROBOLINGGO",1
131,9,"SAMPANG",1
132,9,"SIDOARJO",1
133,9,"SITUBONDO",1
134,9,"SUMENEP",1
135,9,"SURABAYA",1
136,9,"TRENGGALEK",1
137,9,"TUBAN",1
138,9,"TULUNGAGUNG",1
139,10,"BENGKAYANG",1
140,10,"KAPUAS HULU",1
141,10,"KETAPANG",1
142,10,"KOTA PONTIANAK",1
143,10,"KOTA SINGKAWANG",1
144,10,"LANDAK",1
145,10,"PONTIANAK",1
146,10,"SAMBAS",1
147,10,"SANGGAU",1
148,10,"SINTANG",1
149,11,"BALANGAN                 ",1
150,11,"BANJAR                   ",1
151,11,"BANJARBARU               ",1
152,11,"BANJARMASIN",1
153,11,"BARITO KUALA",1
154,11,"HULU SUNGAI SELATAN      ",1
155,11,"HULU SUNGAI TENGAH       ",1
156,11,"HULU SUNGAI UTARA        ",1
